Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
246,N7RVS,447.350000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
247,K7QEQ,447.400000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
248,K7DSN,447.400000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
249,KD7RTO,447.425000,+,5.000000,Tone,192.8,88.5,023,NN,FM,5.00,,,,,,
250,N7EVC,447.425000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
251,W7DHH,447.450000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
252,WD7N,447.475000,-,5.000000,Tone,186.2,88.5,023,NN,FM,5.00,,,,,,
253,NZ6Z,447.500000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
254,K2NWS,447.525000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
255,WA7GTU,447.575000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
256,K7LNP,447.575000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
257,KJ7YE,447.600000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
258,KD7RBR,447.600000,-,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
259,K7YI,447.625000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
260,KF7RCZ,447.675000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
261,WX7Y,447.700000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
262,KF7YXL,447.700000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
263,KX7VC,447.725000,-,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
264,WD7P,447.750000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
265,N7TOP,447.775000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
266,WB7REL,447.850000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
267,KC7KRY,447.875000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
268,KA7EGC,447.875000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
277,W7DES,448.000000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
278,W7DBA,448.025000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
279,KB7M,448.025000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
280,K7CSW,448.050000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
284,N7DZP,448.100000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
285,KD7NX,448.100000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
286,N7HIW,448.125000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
287,KI7DX,448.150000,-,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
288,KD7IMS,448.175000,-,5.000000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
289,KB7M,448.200000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
290,KC7MVI,448.225000,-,5.000000,Tone,146.2,88.5,023,NN,FM,5.00,,,,,,
291,N6QWU,448.250000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
292,KD7YE,448.275000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
293,WB7TSQ,448.275000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
294,K7UB,448.300000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
295,W7CEU,448.300000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
296,K7GX,448.300000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
297,K7UCS,448.325000,-,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
298,KC7OXI,448.350000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
299,W7ROY,448.375000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
300,WA7GTU,448.400000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
301,W7IHC,448.400000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
302,WD7SL,448.425000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
303,K7OGM,448.450000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
304,KC7IIB,448.450000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
305,KB7HAF,448.475000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
306,K7WS,448.500000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
307,K7XRD,448.525000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
308,K7SDC,448.550000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
309,W7IHC,448.550000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
310,W7SU,448.575000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
311,W7SU,448.600000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
312,WA7VHF,448.600000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
313,WA7GIE,448.625000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
314,KB6BOB,448.650000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
315,WA7GIE,448.650000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
316,K7JL,448.675000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
317,N7IMF,448.700000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
319,WB6TNP,448.725000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
320,NA7DB,448.750000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
321,N7TOP,448.775000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
322,KA7SLC,448.800000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
323,K7JH,448.800000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
324,K0NOD,448.825000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
325,W7YDO,448.850000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
326,KG7QWU,448.875000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
327,WB7TSQ,448.900000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
328,N7PKI,448.925000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
329,WA7FFM,448.950000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
330,K7OGM,448.975000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
331,WA7GIE,448.975000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
